user_session,product_id,group_type_formal,first_cart_time_formal,group_type_legacy,first_cart_time_legacy,_merge
,5769875,,,B,2019-12-01 21:00:24+00:00,right_only
,5769892,,,B,2019-12-14 12:20:48+00:00,right_only
,5769900,,,B,2019-12-14 12:20:33+00:00,right_only
,5769936,,,B,2019-12-14 12:18:15+00:00,right_only
,5770014,,,B,2019-12-21 21:23:14+00:00,right_only
,5770017,,,B,2019-12-14 22:16:40+00:00,right_only
,5770025,,,B,2019-12-14 12:17:10+00:00,right_only
,5770048,,,B,2019-12-14 12:16:12+00:00,right_only
,5770050,,,B,2019-12-04 14:10:52+00:00,right_only
,5770058,,,B,2019-12-14 12:15:40+00:00,right_only
,5770060,,,B,2019-12-14 12:15:30+00:00,right_only
,5770995,,,B,2019-12-01 18:20:41+00:00,right_only
,5771961,,,B,2019-12-11 14:46:22+00:00,right_only
,5771964,,,B,2019-12-02 09:26:47+00:00,right_only
,5771969,,,B,2019-12-23 20:22:12+00:00,right_only
,5771971,,,B,2019-12-23 20:22:03+00:00,right_only
,5772165,,,B,2019-12-04 06:24:10+00:00,right_only
,5772230,,,B,2019-12-24 10:41:20+00:00,right_only
,5773210,,,B,2019-12-10 17:11:55+00:00,right_only
,5773312,,,B,2019-12-10 17:12:05+00:00,right_only
,5773594,,,B,2019-12-24 09:05:13+00:00,right_only
,5776130,,,B,2019-12-11 11:29:02+00:00,right_only
,5777447,,,B,2019-12-21 09:50:21+00:00,right_only
,5780902,,,B,2019-12-19 15:28:18+00:00,right_only
,5781744,,,B,2019-12-14 15:26:03+00:00,right_only
,5783777,,,B,2019-12-05 05:32:30+00:00,right_only
,5784076,,,B,2019-12-17 23:28:21+00:00,right_only
,5784673,,,B,2019-12-21 07:40:12+00:00,right_only
,5784674,,,B,2019-12-21 07:38:35+00:00,right_only
,5786549,,,B,2019-12-13 10:09:35+00:00,right_only
,5787964,,,B,2019-12-09 03:52:19+00:00,right_only
,5788435,,,B,2019-12-03 14:18:47+00:00,right_only
,5788436,,,B,2019-12-03 21:05:57+00:00,right_only
,5788438,,,B,2019-12-09 03:51:43+00:00,right_only
,5788440,,,B,2019-12-03 21:05:55+00:00,right_only
,5788779,,,B,2019-12-03 14:18:34+00:00,right_only
,5789896,,,B,2019-12-25 08:21:57+00:00,right_only
,5790471,,,B,2019-12-03 04:39:27+00:00,right_only
,5791010,,,B,2019-12-15 14:14:37+00:00,right_only
,5792800,,,B,2019-12-02 21:44:12+00:00,right_only
,5796098,,,B,2019-12-22 13:58:06+00:00,right_only
,5801436,,,B,2019-12-21 18:28:36+00:00,right_only
,5801438,,,B,2019-12-27 09:49:15+00:00,right_only
,5801816,,,B,2019-12-09 03:55:33+00:00,right_only
,5802165,,,B,2019-12-26 21:03:00+00:00,right_only
,5802432,,,B,2019-12-03 21:22:13+00:00,right_only
,5802437,,,B,2019-12-09 17:47:08+00:00,right_only
,5802447,,,B,2019-12-24 02:22:55+00:00,right_only
,5802650,,,B,2019-12-13 12:25:52+00:00,right_only
,5803509,,,B,2019-12-23 22:54:59+00:00,right_only
,5803683,,,B,2019-12-01 07:59:05+00:00,right_only
,5804263,,,B,2019-12-17 19:09:30+00:00,right_only
,5804820,,,B,2019-12-08 14:55:57+00:00,right_only
,5808332,,,B,2019-12-14 12:14:41+00:00,right_only
,5808510,,,B,2019-12-10 13:41:22+00:00,right_only
,5808541,,,B,2019-12-10 09:17:44+00:00,right_only
,5809233,,,B,2019-12-12 09:59:12+00:00,right_only
,5809297,,,B,2019-12-02 21:44:40+00:00,right_only
,5809799,,,B,2019-12-01 20:16:49+00:00,right_only
,5809868,,,B,2019-12-04 06:24:29+00:00,right_only
,5809910,,,B,2019-12-01 17:18:15+00:00,right_only
,5809911,,,B,2019-12-04 06:23:37+00:00,right_only
,5809912,,,B,2019-12-07 19:37:53+00:00,right_only
,5810444,,,B,2019-12-25 22:06:05+00:00,right_only
,5810668,,,B,2019-12-01 18:25:46+00:00,right_only
,5810674,,,B,2019-12-29 20:33:13+00:00,right_only
,5810717,,,B,2019-12-15 20:47:09+00:00,right_only
,5812939,,,B,2019-12-08 16:47:09+00:00,right_only
,5814048,,,B,2019-12-04 06:24:48+00:00,right_only
,5814049,,,B,2019-12-04 06:24:58+00:00,right_only
,5814051,,,B,2019-12-04 06:25:02+00:00,right_only
,5814516,,,B,2019-12-13 14:54:11+00:00,right_only
,5814517,,,B,2019-12-13 14:54:17+00:00,right_only
,5815108,,,B,2019-12-28 18:11:13+00:00,right_only
,5815662,,,B,2019-12-01 18:06:23+00:00,right_only
,5816169,,,B,2019-12-09 04:55:30+00:00,right_only
,5816177,,,B,2019-12-04 06:24:06+00:00,right_only
,5816858,,,B,2019-12-02 18:24:27+00:00,right_only
,5817692,,,B,2019-12-15 19:15:35+00:00,right_only
,5817697,,,B,2019-12-12 20:17:55+00:00,right_only
,5819045,,,B,2019-12-20 06:35:07+00:00,right_only
,5819046,,,B,2019-12-20 06:34:58+00:00,right_only
,5819273,,,B,2019-12-11 10:42:30+00:00,right_only
,5819352,,,B,2019-12-04 20:56:02+00:00,right_only
,5819354,,,B,2019-12-14 15:26:15+00:00,right_only
,5819583,,,B,2019-12-04 20:10:37+00:00,right_only
,5819895,,,B,2019-12-14 12:14:10+00:00,right_only
,5822753,,,B,2019-12-13 20:30:42+00:00,right_only
